name,barcode,price,weight,category,date
Brown Sandwich Bread 700 g,20067113,17.99,0.7,Bread_Bakery_Deserts,29-05-2023
White Sandwich Bread 700 g,20033897,18.99,0.7,Bread_Bakery_Deserts,29-05-2023
White Thick Slice Bread 700 g,20018702,18.99,0.7,Bread_Bakery_Deserts,29-05-2023
Thick Slice Brown Bread 700 g,6001009005168,17.99,0.7,Bread_Bakery_Deserts,29-05-2023
White Hotdog Rolls 6 pk,20019006,24.99,,Bread_Bakery_Deserts,29-05-2023
White Hamburger Rolls 6 pk,20019068,24.99,,Bread_Bakery_Deserts,29-05-2023
High Fibre Wholewheat Brown Bread 700 g,6009204921979,23.99,0.7,Bread_Bakery_Deserts,29-05-2023
Tante Anna Crushed Wholewheat Brown Bread 700 g,6001009031341,23.99,0.7,Bread_Bakery_Deserts,29-05-2023
High Fibre White Bread 700 g,6009204921986,23.99,0.7,Bread_Bakery_Deserts,29-05-2023
Traditional Hot Cross Buns 6 pk,20019228,37.99,,Bread_Bakery_Deserts,29-05-2023
All Butter Croissants 8 pk,20090234,91.99,,Bread_Bakery_Deserts,29-05-2023
Brown Seeded Rolls 8 pk,6009182771979,32.99,,Bread_Bakery_Deserts,29-05-2023
Assorted Savoury Crackers 250 g,6009101884377,69.99,0.25,Bread_Bakery_Deserts,29-05-2023
Bakers Original Blue Label Marie Biscuits 200 g,6001056453004,19.99,0.2,Bread_Bakery_Deserts,29-05-2023
Seeded Wholewheat Brown Bread 800 g,6001009017444,23.99,0.8,Bread_Bakery_Deserts,29-05-2023
Banana Muffins 4 pk,6009184419695,42.99,,Bread_Bakery_Deserts,29-05-2023
Cape Seed Bread 500 g,6008000555951,33.99,0.5,Bread_Bakery_Deserts,29-05-2023
Bakers Original Tennis Biscuits 200 g,6001056662000,23.99,0.2,Bread_Bakery_Deserts,29-05-2023
Fresh Tortilla Wraps 6 x 44 g,6009184329970,39.99,0.26,Bread_Bakery_Deserts,29-05-2023
Bakers Original Eet-Sum-Mor Biscuits 200 g,6001056201001,28.99,0.2,Bread_Bakery_Deserts,29-05-2023
Oats & Honey Flavoured White Bread 700 g,6009000547465,22.99,0.7,Bread_Bakery_Deserts,29-05-2023
Assorted Muffin Selection 12 pk,20163464,96.99,,Bread_Bakery_Deserts,29-05-2023
Bakers Salticrax 200 g,6001056414425,34.99,0.2,Bread_Bakery_Deserts,29-05-2023
Our Ultimate Burger Buns 4 x 80 g,6009175305778,32.99,0.32,Bread_Bakery_Deserts,29-05-2023
Bakers Original Red Label Lemon Cream Biscuits 200 g,6001056411004,22.99,0.2,Bread_Bakery_Deserts,29-05-2023
Ciabatta Bread 400 g,20114916,49.99,0.4,Bread_Bakery_Deserts,29-05-2023
Chocolate Digestives 200 g,20118600,42.99,0.2,Bread_Bakery_Deserts,29-05-2023
Chocolate Muffins 4 pk,6009184421377,42.99,,Bread_Bakery_Deserts,29-05-2023
Brown Seeded Rolls 2 pk,20118969,25.99,,Bread_Bakery_Deserts,29-05-2023
Brown Hamburger Rolls 6 pk,20186678,24.99,,Bread_Bakery_Deserts,29-05-2023
Carrot & Pecan Nut Muffins 4 pk,6009184419251,42.99,,Bread_Bakery_Deserts,29-05-2023
Chocolate Mousse 1 L,20148089,64.99,1.0,Bread_Bakery_Deserts,29-05-2023
Vanilla Choc Chunk Muffins 4 pk,6009184420783,42.99,,Bread_Bakery_Deserts,29-05-2023
Cheese Rolls 4 pk,20187583,32.99,,Bread_Bakery_Deserts,29-05-2023
Bakers Provita Original Wheat Toast Crackerbread 125 g,6001056414319,34.99,0.12,Bread_Bakery_Deserts,29-05-2023
Bakers Provita Wholewheat Crispbread 4 x 125 g,6001056414340,57.99,0.5,Bread_Bakery_Deserts,29-05-2023
100% Rye Bread 400 g,6001009038821,45.99,0.4,Bread_Bakery_Deserts,29-05-2023
English Muffins 4 pk,20024697,28.99,,Bread_Bakery_Deserts,29-05-2023
Playful Penguins Mini Cheese Flavoured Crackers 6 x 28 g,6009101884940,69.99,0.17,Bread_Bakery_Deserts,29-05-2023
