name,barcode,price,weight,category,date
Sunlight Original Dishwashing Liquid 750 ml,6001087358743,36.99,0.75,Cleaning,29-05-2023
Domestos Lavender Multipurpose Blast Thick Bleach 750 ml,6001085120229,39.99,0.75,Cleaning,29-05-2023
Handy Andy Lemon Multi Purpose Cleaning Cream 750 ml,6001087006057,33.99,0.75,Cleaning,29-05-2023
Sunlight Refill Dishwash Liquid 750 ml,6001087003490,29.99,0.75,Cleaning,29-05-2023
Domestos Lemon Fresh Multipurpose Thick Bleach 750 ml,6001085010469,39.99,0.75,Cleaning,29-05-2023
Domestos Summer Fresh Multipurpose Thick Bleach 750 ml,6001085116956,39.99,0.75,Cleaning,29-05-2023
Skip Anti-Ageing Auto Washing Powder 2 kg,6001085126757,99.99,2.0,Cleaning,29-05-2023
Handy Andy Multi Purpose Cleaning Cream 750 ml,6001087006095,33.99,0.75,Cleaning,29-05-2023
OMO Auto Washing Powder 2 kg,6001085126733,98.99,2.0,Cleaning,29-05-2023
Domestos White and Shine Multipurpose Thick Bleach 750 ml,6001087365109,39.99,0.75,Cleaning,29-05-2023
Sta-Soft Hypo-Allergenic Baby Fabric Softener Refill 500 ml,6001067021551,49.99,0.5,Cleaning,29-05-2023
Ariel Auto Concentrated Washing Liquid 1.5 L,4015600540173,114.99,5.0,Cleaning,29-05-2023
Ariel Auto Washing Powder 2 kg,5410076593835,114.99,2.0,Cleaning,29-05-2023
Skip Anti-Ageing Auto Washing Liquid 1.5 L,6001087365932,99.99,5.0,Cleaning,29-05-2023
Sunlight Original Dishwashing Liquid 400 ml,6001085017598,24.99,0.4,Cleaning,29-05-2023
W.Lab 3 in 1 Zesty Lime Dishwash Liquid 750 ml,20003784,34.99,0.75,Cleaning,29-05-2023
Duck 5-in1 Lavender Advanced Toilet Cleaner 500 ml,6001298043605,28.99,1.0,Cleaning,29-05-2023
Sta-Soft Spring Fresh Fabric Softener Refill 500 ml,6001067004554,49.99,0.5,Cleaning,29-05-2023
Omo Auto Laundry Liquid 1.5 L,6001087356312,98.99,5.0,Cleaning,29-05-2023
Mr Min Lavender Multi Surface Cleaner 400 ml,6001106120689,64.99,0.4,Cleaning,29-05-2023
3-in-1 Spicy Citrus Anti-Bacterial Tile Cleaner 750 ml,6009000716137,49.99,0.75,Cleaning,29-05-2023
Vanish Stain Remover Laundry Detergent 500 ml,6001106111540,89.99,0.5,Cleaning,29-05-2023
Jik Lemon Fresh 1.5 L,6001106101336,42.99,5.0,Cleaning,29-05-2023
Mr Muscle Mountain Fresh Tile Cleaner 750 ml,6001298070090,49.99,0.75,Cleaning,29-05-2023
3 in 1 Anti-Bacterial Lemon Thick Bleach 750 ml,6009000033357,34.99,0.75,Cleaning,29-05-2023
Omo Auto Laundry Washing Powder 2 kg,6001087365437,98.99,2.0,Cleaning,29-05-2023
W.Lab 3 in 1 Citrus Anti-Bacterial Dishwash Liquid 750 ml,20138868,34.99,0.75,Cleaning,29-05-2023
Ariel Downy Auto Washing Powder 2 kg,4084500587809,114.99,2.0,Cleaning,29-05-2023
Handy Andy Potpourri Multi Purpose Cleaning Cream 750 ml,6001087008198,33.99,0.75,Cleaning,29-05-2023
Jik Pot Pourri Detergent 1.5 L,6001106107338,42.99,5.0,Cleaning,29-05-2023
Duck in Cistern Blocks Active Clean 3 pk,6001298998585,49.99,,Cleaning,29-05-2023
Sta-Soft Hypo-Allergenic Baby Fabric Softener 2 L,6001067021544,69.99,2.0,Cleaning,29-05-2023
Omo Auto Washing Liquid with A Touch of Comfort 1.5 L,6001087365475,98.99,5.0,Cleaning,29-05-2023
Sta-Soft Aromatherapy Relax Fabric Softener Refill 500 ml,6001067027126,49.99,0.5,Cleaning,29-05-2023
Skip Intelligent Perfect Whites Auto Washing Liquid 1.5 L,6001087375719,99.99,5.0,Cleaning,29-05-2023
Sta-Soft Lavender Fresh Fabric Softener Refill 500 ml,6001067005094,49.99,0.5,Cleaning,29-05-2023
Multi Purpose Wipes 6 pk,6009000349939,29.99,,Cleaning,29-05-2023
Skip Anti-Ageing Auto Washing Powder 3 kg,6001085126436,134.99,3.0,Cleaning,29-05-2023
Ariel with Downy Auto Concentrated Washing Liquid 1.5 L,4084500638471,114.99,5.0,Cleaning,29-05-2023
3 in 1 Spicy Citrus Anti-Bacterial Kitchen Cleaner 500 ml,6009211171060,46.99,0.5,Cleaning,29-05-2023
Mr Muscle 5 in 1 Lemon Kitchen Cleaner 500 ml,6001298070045,47.99,1.0,Cleaning,29-05-2023
Cobra Wooden Floor Cleaner 750 ml,6001106103545,82.99,0.75,Cleaning,29-05-2023
Mr Muscle 5-in-1 Tile Cleaner 750 ml,6001298070120,50.99,0.75,Cleaning,29-05-2023
Windolene 750 ml,6001106117047,49.99,0.75,Cleaning,29-05-2023
Mr Min Regular Multi Surface Cleaner 400 ml,6001106120702,64.99,0.4,Cleaning,29-05-2023
Sta-Soft Aromatherapy Passion Fabric Softener Refill 500 ml,6001067027119,49.99,0.5,Cleaning,29-05-2023
Mr Min Wood Polish 300 ml,6001106224301,49.99,0.3,Cleaning,29-05-2023
Cobra Active Lavender Garden Tile Cleaner 750 ml,6001106110741,48.99,0.75,Cleaning,29-05-2023
W.Lab 3 in 1 Pink Grapefruit Dishwash Liquid 750 ml,6001009020093,34.99,0.75,Cleaning,29-05-2023
Sta-Soft Summer Radiance Fabric Softener Refill 500 ml,6001067007203,49.99,0.5,Cleaning,29-05-2023
Ariel 3-in-1 Automatic Washing Pods 14 x 27 g,8001090909183,114.99,0.38,Cleaning,29-05-2023
Sta-Soft Spring Fresh Fabric Softener 2 L,6001067093695,69.99,2.0,Cleaning,29-05-2023
Sunlight Laundry Soap 500 g,6001085041210,22.99,0.5,Cleaning,29-05-2023
Mr Min Pot Pourri Multi Surface Cleaner 400 ml,6001106120672,64.99,0.4,Cleaning,29-05-2023
Skip Intelligent Perfect Darks Auto Washing Liquid 1.5 L,6001087375733,99.99,5.0,Cleaning,29-05-2023
Vanish Power O2 Fabric Stain Remover 1 kg,6001106110222,209.99,1.0,Cleaning,29-05-2023
Sunlight 2 in 1 Auto Washing Powder 2 kg,6001087004695,76.99,2.0,Cleaning,29-05-2023
Finish All in 1 Max Shine and Protect 56 Tabs,6001106128050,259.99,,Cleaning,29-05-2023
Sunlight Extra Nature Dishwashing Liquid 750 ml,6001087375498,42.99,0.75,Cleaning,29-05-2023
Windolene Refill Window Cleaner 750 ml,6001106117054,45.99,0.75,Cleaning,29-05-2023
Anti-Bacterial All Purpose Scouring Sponges 2 pk,6009171811419,29.99,,Cleaning,29-05-2023
W.Lab 3-in-1 Valley Breeze Fabric Softener Refill 500 ml,6009000033708,36.99,0.5,Cleaning,29-05-2023
Omo Auto Washing Powder 3 kg,6001085126429,134.99,3.0,Cleaning,29-05-2023
W.Lab 3-in-1 Hypo-Allergenic Fragranced Fabric Softener Refill 500 ml,6009184118802,34.99,0.5,Cleaning,29-05-2023
Vanish Liquid Fabric Stain Remover 1 L,6001106103149,89.99,1.0,Cleaning,29-05-2023
Mr Muscle Original Shower Shine 750 ml,6001298070021,52.99,0.75,Cleaning,29-05-2023
Comfort Pure Concentrated Fabric Softener Refill for Sensitive Skin 800 ml,6001087352505,47.99,0.8,Cleaning,29-05-2023
W.Lab Ocean Mist 3-in-1 Anti-Bacterial Toilet Cleaner 500 ml,6009000716106,28.99,0.5,Cleaning,29-05-2023
Finish Double Action Dishwasher Detergent Powder 1 kg,6001106101565,104.99,1.0,Cleaning,29-05-2023
Ariel 3-in-1 Automatic Washing Pods 21 x 27 g,4015600632243,159.99,0.57,Cleaning,29-05-2023
OMO Multi Active Hand Washing Powder 2 kg,6001085126573,74.99,2.0,Cleaning,29-05-2023
Jik Regular 1.5 L,6001106107314,42.99,5.0,Cleaning,29-05-2023
Cleen Green Concentrate 2 L,6001296004479,79.99,2.0,Cleaning,29-05-2023
Sunlight Extra Anti Bacterial Dishwashing Liquid 750 ml,6001087375504,42.99,0.75,Cleaning,29-05-2023
Finish Rinse Aid 400 ml,5011417552957,99.99,0.4,Cleaning,29-05-2023
Handy Andy Pink Grapefruit Bathroom Cleaner 500 ml,6001087375511,49.99,0.5,Cleaning,29-05-2023
Medium Rubber Gloves 1 pk,20036607,37.99,,Cleaning,29-05-2023
Microfibre Wash and Scour Cloths 2 pk,6009101555222,29.99,,Cleaning,29-05-2023
Earth Friendly Oven and Braai Cleaner 500 ml,6009214457949,67.99,0.5,Cleaning,29-05-2023
Finish Dishwasher Cleaner 250 ml,5011417548509,99.99,0.25,Cleaning,29-05-2023
Mr Muscle Floor and All Purpose Cleaner 1 L,6001298690076,45.99,1.0,Cleaning,29-05-2023
3 in 1 Spicy Citrus Wood and Laminate Cleaner 750 ml,6009211118164,55.49,0.75,Cleaning,29-05-2023
Earth Friendly Lemongrass Tile Cleaner 750 ml,6009214457963,66.99,0.75,Cleaning,29-05-2023
Vanish Liquid Fabric Stain Remover 500 ml,6001106103200,54.99,0.5,Cleaning,29-05-2023
Anti-Bacterial All-Purpose Cloths 3 pk,6001009030771,29.99,,Cleaning,29-05-2023
3 in 1 Window and Glass Cleaner 750 ml,6009000033463,47.99,0.75,Cleaning,29-05-2023
3 in 1 Anti-Bacterial Lavender Thick Bleach 750 ml,6009000715697,34.99,0.75,Cleaning,29-05-2023
3 in 1 Anti-Bacterial  Mildew Cleaner 500 ml,6009000716113,59.99,0.5,Cleaning,29-05-2023
"W.Lab 3-in-1 Baby, Sensitive and Delicates Fabric Softener 2 L",6009184118796,57.99,2.0,Cleaning,29-05-2023
W.Lab 3 in 1 Auto Dishwasher Rinse Aid 400 ml,6009211118188,84.99,0.4,Cleaning,29-05-2023
Ariel Auto Washing Powder 3 kg,5410076593804,159.99,3.0,Cleaning,29-05-2023
Earth Friendly Cucumber and Jasmine Kitchen Cleaner 500 ml,6009214476179,59.99,0.5,Cleaning,29-05-2023
Sunlight 2 in 1 Hand Washing Powder 1 kg,6001085126375,39.99,1.0,Cleaning,29-05-2023
Mr Muscle Drain Cleaner 500 ml,6001298510060,114.99,0.5,Cleaning,29-05-2023
Earth Friendly Lemongrass Drain Cleaner 750 ml,6009214457956,74.99,0.75,Cleaning,29-05-2023
