name,barcode,price,weight,category,date
Sliced Sandwich Ham 125 g,6009000055151,32.99,0.12,Deli_Entertaining,29-05-2023
Sliced Beech Smoked Ham 125 g,6005000875980,32.99,0.12,Deli_Entertaining,29-05-2023
Sliced Beech Wood Smoked Gypsy Ham 250 g,6001009009852,77.99,0.25,Deli_Entertaining,29-05-2023
Sliced Smoked Chicken 125 g,6009173704276,32.99,0.12,Deli_Entertaining,29-05-2023
Smoked Chicken Viennas 1 kg,6009195431174,114.99,1.0,Deli_Entertaining,29-05-2023
Sliced Beech Smoked Ham 250 g,6009175007665,52.99,0.25,Deli_Entertaining,29-05-2023
Smoked Chicken Viennas 500 g,6009195431181,71.99,0.5,Deli_Entertaining,29-05-2023
Sliced Sandwich Ham 250 g,6009189923319,52.99,0.25,Deli_Entertaining,29-05-2023
Free Range Chicken Liver Pâté 125 g,20144524,49.99,0.12,Deli_Entertaining,29-05-2023
Smoked Snoek Pâté 125 g,6001009034076,51.99,0.12,Deli_Entertaining,29-05-2023
Sliced Butter Basted Chicken Breast 140 g,6009189653520,37.99,0.14,Deli_Entertaining,29-05-2023
Beech Wood Smoked American Style Hot Dog Sausages 375 g,6008000445498,57.99,0.38,Deli_Entertaining,29-05-2023
Beef Pastrami 125 g,20199197,59.99,0.12,Deli_Entertaining,29-05-2023
Salami Sticks 150 g,6009178483916,74.99,0.15,Deli_Entertaining,29-05-2023
Chicken Nuggets 250 g,20086367,79.99,0.25,Deli_Entertaining,29-05-2023
Pickled Fish Hake 500 g,20012809,104.99,0.5,Deli_Entertaining,29-05-2023
Salami Sticks 400 g,6009182764933,174.99,0.4,Deli_Entertaining,29-05-2023
Beech Wood Smoked Viennas 500 g,6009211488144,70.99,0.5,Deli_Entertaining,29-05-2023
Sliced Smoked German Style Salami 100 g,20171643,49.99,0.1,Deli_Entertaining,29-05-2023
Salami Sticks 85 g,6009101996285,44.99,0.09,Deli_Entertaining,29-05-2023
Smoked Chicken & Cheese Viennas 500 g,6009195349929,71.99,0.5,Deli_Entertaining,29-05-2023
Beef Samoosas 16 pk,20046712,84.99,,Deli_Entertaining,29-05-2023
