name,barcode,price,weight,category,date
Sesame Soya Chicken Noodles 1 kg,6007875709148,189.99,1.0,Ready_meals,29-05-2023
Chicken Fried Rice 1 kg,6007875709155,184.99,1.0,Ready_meals,29-05-2023
Mixed Vegetables 400 g,20149116,32.99,0.4,Ready_meals,29-05-2023
Roasting Vegetables 500 g,20201227,32.99,0.5,Ready_meals,29-05-2023
Beef Lasagne 1 kg,20022488,179.99,1.0,Ready_meals,29-05-2023
Creamy Swiss Chard & Honey Butternut 350 g,20204877,52.99,0.35,Ready_meals,29-05-2023
Chicken Pie 580 g,20013189,99.99,0.58,Ready_meals,29-05-2023
Spaghetti Bolognese 300 g,20152123,69.99,0.3,Ready_meals,29-05-2023
Beef Lasagne 300 g,20034948,72.99,0.3,Ready_meals,29-05-2023
Macaroni Cheese 1 kg,20115609,159.99,1.0,Ready_meals,29-05-2023
Seasonal Vegetables 450 g,20130527,32.99,0.45,Ready_meals,29-05-2023
"PlantLove™ Swiss Chard, Sweetcorn & Butter Bean Rounds 4 pk",20201814,49.99,,Ready_meals,29-05-2023
Kids Cheese-a-roni Macaroni Cheese 200 g,20196356,54.99,0.2,Ready_meals,29-05-2023
Macaroni Cheese 300 g,20039707,69.99,0.3,Ready_meals,29-05-2023
Green Vegetable Medley 375 g,6009189863219,32.99,0.38,Ready_meals,29-05-2023
Beef Steak Pie 580 g,20013172,99.99,0.58,Ready_meals,29-05-2023
"Butternut, Cauliflower & Baby Marrows 450 g",20201333,32.99,0.45,Ready_meals,29-05-2023
Basil Pesto 125 g,20160074,67.99,0.12,Ready_meals,29-05-2023
Kids Easy Cheesy Chicken 200 g,6008000747493,54.99,0.2,Ready_meals,29-05-2023
Country Vegetables 400 g,20130510,44.99,0.4,Ready_meals,29-05-2023
Stonebaked Cheese & Tomato Pizza 325 g,20175795,84.99,0.33,Ready_meals,29-05-2023
Kids Spaghetti with Savoury Beef Mince 205 g,6009101225699,54.99,0.2,Ready_meals,29-05-2023
Creamy Chicken Lasagne 1 kg,6009214229454,189.99,1.0,Ready_meals,29-05-2023
Fresh Butternut Soup 600 g,20100056,42.99,0.6,Ready_meals,29-05-2023
Roasting Vegetables 1.5 kg,6009182009065,76.99,5.0,Ready_meals,29-05-2023
Cottage Pie 350 g,20007294,84.99,0.35,Ready_meals,29-05-2023
Macaroni Cheese with Bacon 300 g,20080709,69.99,0.3,Ready_meals,29-05-2023
