name,barcode,price,weight,category,date
Frozen Lemon & Dill Kingklip & Hake Fish Cakes 4 pk,6009223003618,119.99,,Cleaning,16-05-2023
Fantastical™ Soft Scoop Berry Flavoured Ice Cream 2 L,6007875466553,89.99,2.0,Cleaning,16-05-2023
Frozen Bao Buns with Spicy Prawn 300 g,6007875700527,159.99,0.3,Cleaning,16-05-2023
Freshly Frozen Hake Medallions 450 g,6005000415087,94.99,0.45,Cleaning,16-05-2023
Frozen Rainbow Trout Portions 400 g,6001009033895,204.99,0.4,Cleaning,16-05-2023
Frozen Crumbed Hake Fish Cakes 300 g,20109233,79.99,0.3,Cleaning,16-05-2023
Frozen Lightly Smoked Honeyed Norwegian Salmon 400 g,6009175675406,279.99,0.4,Cleaning,16-05-2023
Frozen Chilli & Lime Norwegian Salmon Portions 400 g,6008000200530,279.99,0.4,Cleaning,16-05-2023
Frozen Crumbed Fish Fingers 800 g,20012274,109.99,0.8,Cleaning,16-05-2023
Frozen Tempura Hake Fillets 600 g,6009178641583,149.99,0.6,Cleaning,16-05-2023
Frozen Lemon & Herb Rainbow Trout Portions 400 g,6005000459616,214.99,0.4,Cleaning,16-05-2023
Frozen Tempura Snack with Prawns 400 g,6009000623411,219.99,0.4,Cleaning,16-05-2023
Frozen Cooked & Peeled Medium Prawns 400 g,6005000152852,214.99,0.4,Cleaning,16-05-2023
Frozen Norwegian Salmon Portions 400 g,6001009028983,299.99,0.4,Cleaning,16-05-2023
Frozen Cooked & Peeled Small Prawns 800 g,6005000152876,304.99,0.8,Cleaning,16-05-2023
Frozen Tempura Hake Portions 600 g,20012199,174.99,0.6,Cleaning,16-05-2023
Frozen Cooked Prawn Ring 300 g,6009175272124,204.99,0.3,Cleaning,16-05-2023
Frozen Lightly Dusted Hake Portions 450 g,6009178641545,134.99,0.45,Cleaning,16-05-2023
Frozen Crispy Tempura Battered Hake Burgers 600 g,6009189725050,129.99,0.6,Cleaning,16-05-2023
Frozen Cooked & Shell-On Large Prawns 500 g,6009195975401,214.99,0.5,Cleaning,16-05-2023
Frozen Southern-Fried Calamari 500 g,6005000413007,164.99,0.5,Cleaning,16-05-2023
Freshly Frozen Uncooked Extra Large Black Tiger Prawns 500 g,6009195975395,219.99,0.5,Cleaning,16-05-2023
Frozen Crumbed Chicken Burgers 480 g,6009171619893,84.99,0.48,Cleaning,16-05-2023
Frozen Chicken Mixed Portions 2 kg,6008000200578,109.99,2.0,Cleaning,16-05-2023
Frozen Ciabatta Crumbed Chicken Cordon Bleu 540 g,6001009006332,99.99,0.54,Cleaning,16-05-2023
Frozen Southern Fried Chicken Nibbles 400 g,6009178156513,76.99,0.4,Cleaning,16-05-2023
Frozen Beef Oxtail 750 g,6009000282366,159.99,0.75,Cleaning,16-05-2023
Frozen Crispy Chicken Breast Strips 400 g,6009195948757,76.99,0.4,Cleaning,16-05-2023
Frozen Panko Crumbed Chicken & Garlic Kievs 540 g,20184360,99.99,0.54,Cleaning,16-05-2023
Frozen Crumbed Chicken Nuggets 400 g,6008000486538,76.99,0.4,Cleaning,16-05-2023
Frozen Leg of Lamb Avg 2.2 kg,2064970000000,373.98,2.0,Cleaning,16-05-2023
Freshly Frozen Garden Peas 1 kg,20029388,64.99,1.0,Cleaning,16-05-2023
Frozen Petits Pois Peas 500 g,20038717,49.99,0.5,Cleaning,16-05-2023
Frozen Battered Onion Rings 500 g,6009171051198,64.99,0.5,Cleaning,16-05-2023
"Freshly Frozen Peas, Baby Carrots & Sweetcorn Kernels 1 kg",20012502,64.99,1.0,Cleaning,16-05-2023
Freshly Frozen Diced Vegetable Mix 1 kg,20159207,47.99,1.0,Cleaning,16-05-2023
Freshly Frozen Sweetcorn Kernels 1 kg,20109615,64.99,1.0,Cleaning,16-05-2023
Freshly Frozen Peas & Sweetcorn Kernels 750 g,6001009008237,64.99,0.75,Cleaning,16-05-2023
Frozen French Fries 1 kg,20095550,61.99,1.0,Cleaning,16-05-2023
Frozen Savoury Basmati Rice Mix 1 kg,6009182980777,99.99,1.0,Cleaning,16-05-2023
Frozen Sweet Potato Chips 1 kg,6009173621795,64.99,1.0,Cleaning,16-05-2023
Frozen Potato Wedges 750 g,6009000622698,76.99,0.75,Cleaning,16-05-2023
Frozen Mashed Potato 1 kg,6009173621757,84.99,1.0,Cleaning,16-05-2023
Frozen Steakhouse Cut Potato Chips 1 kg,6009173621801,69.99,1.0,Cleaning,16-05-2023
Frozen Crispy Potato Rostis 500 g,6009171051204,44.99,0.5,Cleaning,16-05-2023
Frozen Savoury Rice 1 kg,6009173621740,89.99,1.0,Cleaning,16-05-2023
Frozen Crinkle Cut Potato Chips 1 kg,6009189924019,77.99,1.0,Cleaning,16-05-2023
Easy to Cook Frozen Chicken Pies 4 pk,6009000069172,109.99,,Cleaning,16-05-2023
Easy to Cook Frozen Pepper Steak Pies 4 pk,6009178835555,109.99,,Cleaning,16-05-2023
Frozen Stonebaked Margherita Pizza 345 g,6009184875712,59.99,0.34,Cleaning,16-05-2023
Frozen Stonebaked Pepperoni Pizza 340 g,6009184875729,69.99,0.34,Cleaning,16-05-2023
Extremely Creamy Belgian Chocolate Dairy Ice Cream 1 L,6009000541869,99.99,1.0,Cleaning,16-05-2023
Extremely Creamy Madagascan Vanilla Dairy Ice Cream 1 L,6001009028259,99.99,1.0,Cleaning,16-05-2023
Frozen Granadilla Sorbet 1 L,6009175129008,86.99,1.0,Cleaning,16-05-2023
