name,barcode,price,weight,category,date
Bulk Super Soft 2 Ply Toilet Paper 18 pk,6005000252309,148.99,,Frozen_food,16-05-2023
Double Ply Super Absorbent Roller Towel 2 pk,6009171642242,26.99,,Frozen_food,16-05-2023
Baby Soft White 2 Ply Toilet Paper 18 pk,6001019000252,148.99,,Frozen_food,16-05-2023
Black Refuse Bags 20 pk,20101008,49.99,,Frozen_food,16-05-2023
Super Absorbent 2 Ply Printed Roller Towel 2 pk,6009171558123,26.99,,Frozen_food,16-05-2023
Super Absorbent 2 Ply Printed Roller Towel 2 pk,6009175265690,26.99,,Frozen_food,16-05-2023
1 Ply Plain Serviettes 100 pk,20081362,21.99,,Frozen_food,16-05-2023
Bulk Black Refuse Bags 2 x 20 pk,6009184600703,94.99,,Frozen_food,16-05-2023
Super Soft 2 Ply Toilet Paper 9 pk,20183714,78.99,,Frozen_food,16-05-2023
Charcoal Braai Briquettes 5 kg,20109493,74.99,5.0,Frozen_food,16-05-2023
Doom Fresh Odourless Insect Spray 300 ml,6001206413711,44.99,0.3,Frozen_food,16-05-2023
Firelighters 12 Pcs,20109509,22.99,,Frozen_food,16-05-2023
Medium Resealable Sandwich Bags 20 pk,6009189029950,39.99,,Frozen_food,16-05-2023
Double Ply Super Absorbent Mega Roller Towel 2 pk,6009211621831,44.99,,Frozen_food,16-05-2023
2 Ply Plain Serviettes 50 pk,6009178193785,32.99,,Frozen_food,16-05-2023
Lightweight Foil Refill 10 m,6009101060160,59.99,,Frozen_food,16-05-2023
Baking Paper 5 m x 30 cm,6009173542786,36.99,,Frozen_food,16-05-2023
Perforated Clear Wrap Refill,6009173570970,59.99,,Frozen_food,16-05-2023
Lightweight Foil 10 m,20076733,64.99,,Frozen_food,16-05-2023
Large Resealable Freezer Bags 10 pk,6009189029974,62.99,,Frozen_food,16-05-2023
Super Soft 2 Ply Toilet Paper 4 pk,20003661,45.99,,Frozen_food,16-05-2023
Plain Paper Plates 50 pk,20075071,44.99,,Frozen_food,16-05-2023
Small Resealable Freezer Bags 15 pk,6009189029967,62.99,,Frozen_food,16-05-2023
Perforated Clear Wrap 50 m,20080112,74.99,,Frozen_food,16-05-2023
Clear Refuse Bag 20 pk,6009173427069,54.99,,Frozen_food,16-05-2023
Heavyweight Foil Refill 10 m,6009101060115,89.99,,Frozen_food,16-05-2023
Baby Soft Flushable Toilet Tissue Wipes 42 pk,6001019908060,39.99,,Frozen_food,16-05-2023
Mini Resealable Snack Bags 30 pk,6009189029943,34.99,,Frozen_food,16-05-2023
Doom Super Multi Insect Spray 300 ml,6001206413681,44.99,0.3,Frozen_food,16-05-2023
Heavyweight Foil 10 m,20076726,104.99,,Frozen_food,16-05-2023
Earth Friendly Oven and Braai Cleaner 500 ml,6009214457949,67.99,0.5,Frozen_food,16-05-2023
Original BBQ Braai Marinade 750 ml,6001009005847,66.99,0.75,Frozen_food,16-05-2023
Garden Refuse Bags 10 pk,20172848,44.99,,Frozen_food,16-05-2023
1 Ply Everyday Serviettes 50 pk,20188573,23.99,,Frozen_food,16-05-2023
Heavy Duty Bags 10 pk,20206390,49.99,,Frozen_food,16-05-2023
Bic Mega Lighter,3086126788388,59.99,,Frozen_food,16-05-2023
Lamb Rub 65 g,6009207762074,27.99,0.07,Frozen_food,16-05-2023
Chicken Rub 75 g,6009207762050,27.99,0.07,Frozen_food,16-05-2023
Sekelbos Braai Wood 5 kg,6009178088937,45.99,5.0,Frozen_food,16-05-2023
You Magazine,9771011416005,45.0,,Frozen_food,16-05-2023
Glad Multi-Fresh Food Bags 20 pk,6001218116792,54.99,,Frozen_food,16-05-2023
Beige Refuse Bags 20 pk,20190774,54.99,,Frozen_food,16-05-2023
Steak Rub 80 g,6009171929725,34.99,0.08,Frozen_food,16-05-2023
