name,barcode,price,weight,category,date
Bulk Super Soft 2 Ply Toilet Paper 18 pk,6005000252309,148.99,,Household,16-05-2023
Baby Soft White 2 Ply Toilet Paper 18 pk,6001019000252,148.99,,Household,16-05-2023
Super Soft 2 Ply Toilet Paper 9 pk,20183714,78.99,,Household,16-05-2023
Aquafresh Blue Toothpaste 100 ml,6001076001025,17.99,0.1,Household,16-05-2023
Lux Soft Caress Beauty Soap 4 x 100 g,6001087009270,34.99,0.4,Household,16-05-2023
Sensodyne Gentle Whitening Toothpaste 75 ml,6001076192303,44.99,0.07,Household,16-05-2023
Dual Textured Facial Cotton Pads 80 pk,6009101145348,36.99,,Household,16-05-2023
Super Soft 2 Ply Toilet Paper 4 pk,20003661,45.99,,Household,16-05-2023
Spicy Citrus 3 in 1 Hygiene Handwash 250 ml,20194802,49.99,0.25,Household,16-05-2023
Baby Soft Flushable Toilet Tissue Wipes 42 pk,6001019908060,39.99,,Household,16-05-2023
Colgate Maximum Cavity Protection Regular Toothpaste 100 ml,6001067066613,24.99,0.1,Household,16-05-2023
Almond Milk and Vanilla Hand Wash 250 ml,6009211637429,44.99,0.25,Household,16-05-2023
Sensodyne Whitening Repair and Protect Toothpaste 75 ml,6001076192525,73.99,0.07,Household,16-05-2023
Dettol Hygiene Original Liquid Hand Wash 200 ml,6001106224592,42.99,0.2,Household,16-05-2023
Dettol Hygiene Sensitive Liquid Hand Wash 200 ml,6001106224608,42.99,0.2,Household,16-05-2023
Sensodyne Repair and Protect Toothpaste 75 ml,6001076192518,73.99,0.07,Household,16-05-2023
Lemon Verbena Hand Wash 250 ml,6009211634886,44.99,0.25,Household,16-05-2023
Sanex Dermo Moisturising Shower and Bath Gel 500 ml,8714789763439,79.99,0.5,Household,16-05-2023
Kids Aquafresh Little Teeth Toothpaste 50 ml,6001076139605,21.99,0.05,Household,16-05-2023
Aquafresh Mild and Minty Toothpaste 100 ml,6001076001032,17.99,0.1,Household,16-05-2023
Shea Butter and Honey Hand Wash 250 ml,6009211637252,44.99,0.25,Household,16-05-2023
Dove Original Roll On 50 ml,60098764,29.99,0.05,Household,16-05-2023
Listerine Cool Mint Anti-Bacterial Mouthwash 500 ml,6001135009450,74.99,0.5,Household,16-05-2023
Panado Tablets Blister Pack 24 Tablets,6001206421983,33.99,,Household,16-05-2023
Colgate Gel Toothpaste 100 ml,6001067066293,24.99,0.1,Household,16-05-2023
Paper Stem Cotton Buds 100 pk,6009101145379,21.99,,Household,16-05-2023
Listerine Freshburst Anti-Bacterial Mouthwash 500 ml,6001135009498,74.99,0.5,Household,16-05-2023
Panado 24 Tablets,60011053,33.99,,Household,16-05-2023
Kids Aquafresh My Big Teeth Toothpaste 50 ml,6001076139704,21.99,0.05,Household,16-05-2023
Colgate Triple Action Original Mint Toothpaste 100 ml,6920354814891,21.99,0.1,Household,16-05-2023
Fresh Mint 3 in 1 Hygiene Handwash 250 ml,6009204724990,49.99,0.25,Household,16-05-2023
Always Ultra Night Pads 7 pk,4015400501008,27.99,,Household,16-05-2023
Elastoplast Water Resistant Plasters 20 pk,4005800042782,30.99,,Household,16-05-2023
