name,barcode,price,weight,category,date
Still Natural Spring Water 4 x 5 L,6009211216976,99.99,20.0,Pantry,16-05-2023
Quinine and Citrus Flavoured Sparkling Tonic Water Can 200 ml,6001009034175,13.99,0.2,Pantry,16-05-2023
100 % Apple Juice 1.5 L,6009173967152,62.99,5.0,Pantry,16-05-2023
100 % Apple Juice 500 ml,6009173967145,28.99,0.5,Pantry,16-05-2023
100 % Fruit Cocktail Fruit Juice Blend 1.5 L,20162849,62.99,5.0,Pantry,16-05-2023
100 % Fruit Cocktail Fruit Juice Blend 500 ml,20166861,28.99,0.5,Pantry,16-05-2023
100 % Granadilla Fruit Juice Blend 1.5 L,20162825,62.99,5.0,Pantry,16-05-2023
100% Guava Fruit Juice Blend 1.5 L,20198718,62.99,5.0,Pantry,16-05-2023
100% Guava Fruit Juice Blend 500 ml,6009101066322,28.99,0.5,Pantry,16-05-2023
100% Mango Fruit Juice Blend 1.5 L,6009171950262,62.99,5.0,Pantry,16-05-2023
100% Mango Fruit Juice Blend 500 ml,6009101066308,28.99,0.5,Pantry,16-05-2023
100% Orange Juice 1.5 L,20162832,62.99,5.0,Pantry,16-05-2023
100% Orange Juice 3 L,6009000043837,97.99,3.0,Pantry,16-05-2023
100% Orange Juice 500 ml,20162801,28.99,0.5,Pantry,16-05-2023
Still Lemonade 300 ml,6009175423823,18.99,0.3,Pantry,16-05-2023
Still Lemonade 1 L,6009175423854,36.99,1.0,Pantry,16-05-2023
Ginger Lemonade 300 ml,6009175611558,18.99,0.3,Pantry,16-05-2023
Ginger Lemonade 1 L,6009175612517,36.99,1.0,Pantry,16-05-2023
100% Mixed Berry Fruit Juice Blend 500 ml,6009189517327,28.99,0.5,Pantry,16-05-2023
100% Mixed Berry Fruit Juice Blend 1.5 L,6009189517402,62.99,5.0,Pantry,16-05-2023
Cold Pressed Green 100% Juice 250 ml,6009189957734,32.99,0.25,Pantry,16-05-2023
Cold Pressed Beetroot Bliss 100% Juice 250 ml,6009189957727,32.99,0.25,Pantry,16-05-2023
Cold Pressed Carrot 100% Juice 250 ml,6009189957321,32.99,0.25,Pantry,16-05-2023
